title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Jessie Redmon Fauset House,North,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,fulldata_192,ca. 1885,1885,39.982106,-75.161803,,https://media.newyorker.com/photos/59097e3bc14b3c606c10999a/master/pass/Jerkins-TheForgottenWorkofJessieRedmonFauset.jpg,,image/jpeg
Joe Frazier Gym,North,2917 N. Broad St.,Philadelphia,PA,19132,gym,fulldata_193,,,39.997172,-75.15354,,,,
John W. Coltrane House,North,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,fulldata_194,1895,1895,39.980283,-75.188424,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,"By https://www.loc.gov/pictures/item/pa3863.photos.381323p, Public Domain, https://commons.wikimedia.org/w/index.php?curid=34382696",image/jpeg
Joseph Singerly School / Douglass-Singerly School,North,2118 W. Norris St.,Philadelphia,PA,19121,school,fulldata_195,"1891; annex building, 1938; original building destroyed by fire in 1962",1891;1938;1962,39.984084,-75.16966,,,,
"Kappa Alpha Psi Fraternity, Inc. Headquarters",North,2322 N. Broad St.,Philadelphia,PA,19132,fraternity,fulldata_196,,,40.010581,-75.150898,,,,
Little Hope Church,North,16th and Parrish Sts.,Philadelphia,PA,19130,church,fulldata_197,,,39.990821,-75.168428,,,,
Midvale Steel Works,North,Roberts Ave. and Wissahickon Ave.,Philadelphia,PA,19144,factory,fulldata_198,,,39.990821,-75.168428,,,,
Miller Memorial Baptist Church / Enon Baptist Church / Second Shiloh Baptist Church,North,1433 N. 21st St.,Philadelphia,PA,19121,church,fulldata_199,ca. 1907,1907,39.976905,-75.169776,,,,
Morris Brown Mission A.M.E. Church / First Immanuel Baptist Church,North,2434-2438 Ridge Ave.,Philadelphia,PA,19121,church,fulldata_200,,,39.96086,-75.156768,,,,
Mother Catherine Church,North,Broad St. and Fairmount,Philadelphia,PA,19130,church,fulldata_201,,,39.972131,-75.159511,,,,
Mount Nebo A.M.E. Church / Mount Calvary Baptist Church,North,1018 W. York Ave.,Philadelphia,PA,19133,church,fulldata_202,,,39.990821,-75.168428,,,,
Mount Tabor Church,North,1315 W. Master St.,Philadelphia,PA,19122,church,fulldata_203,,,39.974767,-75.160975,,,,
Negro People's Theater of Philadelphia,North,311 N. 16th St.,Philadelphia,PA,19102,,fulldata_204,,,40.042469,-75.146943,,,,
Negro Trade Union Leadership Council,North,2825 N. Broad St.,Philadelphia,PA,19132,,fulldata_205,,,39.99627,-75.153677,,,,
Opportunities Industrialization Centers (OIC),North,19th and Oxford Sts.,Philadelphia,PA,19121,,fulldata_206,,,39.990821,-75.168428,,,,
Pearl Bailey House,North,1946 N. 23rd St.,Philadelphia,PA,19121,dwelling,fulldata_207,ca. 1884-1886,1884;1886,39.984933,-75.1718,,https://phillyjazzblog.files.wordpress.com/2015/03/pearl-bailey-house-1.jpg?w=474,,image/jpeg
Pearl Theater,North,2047-59 Ridge Ave.,Philadelphia,PA,19121,theater,fulldata_208,1927,1927,39.96086,-75.156768,,,,
Philadelphia Doll Museum,North,2253 N. Broad St.,Philadelphia,PA,19132,museum,fulldata_209,,,39.987654,-75.155433,,,,
Prince Hall Grand Lodge of Pennsylvania (Masonic Hall),North,4301 N. Broad St.,Philadelphia,PA,19140,masonic building,fulldata_210,,,40.019062,-75.148224,,,,
Public Markets,North,Callowhill St.,Philadelphia,PA,,market,fulldata_211,,,39.958216,-75.151223,,,,
Public Markets,North,Spring Garden St.,Philadelphia,PA,,market,fulldata_212,,,39.961957,-75.159589,,,,
Pyramid Club,North,1517 W. Girard Ave.,Philadelphia,PA,19130,,fulldata_213,,,39.972087,-75.161801,,,,
Raymond Pace Alexander / Cecil B. Moore House,North,1708 Jefferson St.,Philadelphia,PA,19121,dwelling,fulldata_214,ca. 1885,1885,39.976369,-75.164041,,,,
Roberts Vaux School,North,1100 block of Wood St.,Philadelphia,PA,19107,school,fulldata_215,,,39.990821,-75.168428,,,,
Second Baptist Church of Nicetown / Mt. Carmel M. E. Church,North,3837 Germantown Ave.,Philadelphia,PA,19140,church,fulldata_216,,,40.011952,-75.151523,,,,
Sister Rosetta Tharpe House,North,1102 W. Master St.,Philadelphia,PA,19122,dwelling,fulldata_217,ca. 1951-1952,1951;1952,39.974767,-75.160975,,,,
St. Augustine Mission,North,"transitory locations, 2109 N. Broad St., Thompson above 16th, Co",Philadelphia,PA,,church,fulldata_218,,,39.990821,-75.168428,,,,
Union Mission A.M.E. Church Site,North,444 Fairmount Ave.,Philadelphia,PA,19123,church,fulldata_219,,,39.96279,-75.146214,,,,
