title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Home for Destitute Colored Children,West,Berks and 54th Sts.,Philadelphia,PA,19131,,fulldata_408,,,39.990821,-75.168428,,,,
House of St. Michaels and All Angels,West,603-615 N. 43rd St.,Philadelphia,PA,19104,,fulldata_409,,,39.967817,-75.209777,,,,
"House of Umoja, Inc.",West,1401 N. Frazier St.,Philadelphia,PA,19131,dwelling,fulldata_410,,,39.975782,-75.234361,,,,
J. B. Reeve Memorial Church,West,4929 Aspen St.,Philadelphia,PA,19139,church,fulldata_411,ca. 1910-1930,1910;1930,39.965498,-75.2128,,,,
John Wesley Methodist Church Site #2,West,715 N. 46th St.,Philadelphia,PA,19104,church,fulldata_412,,,40.001164,-75.222472,,,,
John Wesley Methodist Church Site #3,West,Aspen near N. 42nd St.,Philadelphia,PA,19104,church,fulldata_413,,,39.990821,-75.168428,,,,
Laura Wheeler Waring House,West,756 N. 43rd St.,Philadelphia,PA,19104,dwelling,fulldata_414,,,39.966492,-75.209841,,,,
Macedonia Baptist Church,West,Paschall Ave.,Philadelphia,PA,19142,church,fulldata_415,,,39.916837,-75.243978,,,,
Mercy Hospital - Site #2,West,50th St. and Woodland Ave.,Philadelphia,PA,19143,hospital,fulldata_416,,,39.990821,-75.168428,,,,
Monumental Baptist Church / St. James Pentecostal Church,West,4101 Ludlow St.,Philadelphia,PA,19104,church,fulldata_417,"original building, 1846; substantial alterations, late 1870s",1846;1870s,39.956877,-75.204421,,,,
Mount Olivet Baptist Church Building,West,647 N. 42nd St.,Philadelphia,PA,19104,church,fulldata_418,ca. 1930s,1930s,39.963826,-75.206813,,,,
Mount Olivet Baptist Church Site,West,3608-3616 Powelton Ave.,Philadelphia,PA,19104,church,fulldata_419,,,39.959614,-75.196469,,,,
Mount Pisgah Church Site,West,4008 Locust St.,Philadelphia,PA,19104,church,fulldata_420,,,39.947559,-75.159255,,,,
MOVE site,West,6221 Osage Ave.,Philadelphia,PA,19143,,fulldata_421,,,39.955692,-75.24687,,https://collaborativehistory.gse.upenn.edu/sites/default/files/styles/large/public/AINRPZ201708000718.jpg?itok=7Av8bZ_R,Temple University Libraries,image/jpeg
Olive Cemetery,West,W. Girard Ave. and Merion,Philadelphia,PA,19131,cemetery,fulldata_422,ca. 1850,1850,39.990821,-75.168428,,,,
Philadelphia Greek Picnic,West,Fairmount Park,Philadelphia,PA,,festival,fulldata_423,n/a,,39.990821,-75.168428,,,,
Pillar & Ground of Truth Church,West,Haverford Ave. and 38th St.,Philadelphia,PA,19104,church,fulldata_424,,,39.990821,-75.168428,,,,
Pinn Memorial Baptist Church Site,West,possibly near 700 Holly St.,Philadelphia,PA,19104,church,fulldata_425,,,39.968498,-75.206868,,,,
Progressive Church,West,57th and Race Sts.,Philadelphia,PA,19139,church,fulldata_426,,,39.990821,-75.168428,,,,
Providence Baptist Church,West,37th at Filbert St.,Philadelphia,PA,19104,church,fulldata_427,,,39.990821,-75.168428,,,,
Shelter for Colored Orphans,West,44th and Haverford Ave.,Philadelphia,PA,19104,orphanage,fulldata_428,,,39.990821,-75.168428,,,,
St. Ignatius of Loyola Parish House and School,West,632-644 N. 43rd St.,Philadelphia,PA,19104,parish house; school,fulldata_429,1905,1905,39.967817,-75.209777,,,,
St. John A.M.E. Church Site,West,7207 Greenway Ave.,Philadelphia,PA,19142,church,fulldata_430,,,39.919384,-75.246302,,,,
St. John the Divine Church,West,57th at Race St.,Philadelphia,PA,19139,church,fulldata_431,,,39.990821,-75.168428,,,,
St. Matthew Church Site,West,5801 Vine St.,Philadelphia,PA,19139,church,fulldata_432,,,39.966983,-75.23667,,,,
St. Paul A.M.E. Church Building,West,8398 Lindbergh Blvd.,Philadelphia,PA,19153,church,fulldata_433,,,39.90232,-75.247538,,,,
Tabernacle Church,West,Island Ave.,Philadelphia,PA,,church,fulldata_434,,,39.90275,-75.239565,,,,
Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,West,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,dwelling; museum,fulldata_435,"ca. 1742-1751; many additions and alterations, including ca. 1888 and 1905",1742;1751;1888;1905,39.985323,-75.213071,,https://www.philasun.com/wp-content/uploads/2016/02/diaspora_02-28-16b.jpg,,image/jpeg
Ward A.M.E. Church / 43rd St. Methodist Church,West,728 N. 43rd St.,Philadelphia,PA,19104,church,fulldata_436,before 1910,1910,39.965902,-75.209853,,,,
Ward A.M.E. Church Site,West,4601 Aspen St.,Philadelphia,PA,19139,church,fulldata_437,,,39.965498,-75.2128,,,,
White Rock Baptist Church Site,West,45th and Aspen Sts.,Philadelphia,PA,19104,church,fulldata_438,,,39.990821,-75.168428,,,,
Woodlands Cemetery,West,4000 Woodland Ave.,Philadelphia,PA,19104,cemetery,fulldata_439,ca. 1843; house ca. 1770-1790,1843; 1770;1790,39.949464,-75.199983,,,,
